original_title,runtime,year_release,budget_adjusted,revenue_final_adjusted
Shadow Conspiracy,103.0,1997,83962201,4019998
An American Werewolf in Paris,105.0,1997,41048187,49575879
La vita è bella,116.0,1997,37316533,428020643
Affliction,114.0,1997,11194960,11810783
もののけ姫,134.0,1997,49444407,297366703
Abre los ojos,117.0,1997,5410897,687060
Donnie Brasco,127.0,1997,65303934,78280753
Cube,90.0,1997,466456,936305
Most Wanted,99.0,1997,46645667,22088063
Metro,117.0,1997,102620468,59683248
Austin Powers: International Man of Mystery,94.0,1997,30786140,126286593
Dante's Peak,108.0,1997,216435896,332355529
Prefontaine,106.0,1997,14926613,1099539
Absolute Power,121.0,1997,93291334,93418789
Vegas Vacation,93.0,1997,46645667,67916763
Lost Highway,134.0,1997,27987400,6857288
Rosewood,140.0,1997,55974800,24498955
Private Parts,109.0,1997,52243147,76929525
Running Time,70.0,1997,242557,2977
Dil To Pagal Hai,179.0,1997,2425574,20524093
The Saint,116.0,1997,126876215,220285663
Liar Liar,86.0,1997,83962201,564805545
Con Air,115.0,1997,139937001,417968005
The Devil's Own,107.0,1997,167924402,262722479
Selena,127.0,1997,37316533,111949601
Spawn,96.0,1997,74633067,163894295
Boogie Nights,155.0,1997,27987400,80420104
Air Bud,98.0,1997,5597480,43183624
Anna Karenina,108.0,1997,65303934,1477417
Anaconda,89.0,1997,83962201,255405117
Sunday,91.0,1997,839,537
Breakdown,95.0,1997,67169760,93588269
The Fifth Element,126.0,1997,167924402,492429316
Love! Valour! Compassion!,108.0,1997,3731653,5410897
Lolita,137.0,1997,115681254,1977880
The Lost World: Jurassic Park,129.0,1997,136205348,427413361
Cats Don't Dance,75.0,1997,59706454,6654726
Event Horizon,96.0,1997,111949601,49767646
Speed 2: Cruise Control,121.0,1997,298532270,306943540
Squeeze,95.0,1997,932913,19218
Batman & Robin,125.0,1997,233228336,444453206
Face/Off,138.0,1997,149266135,458389110
Men in Black,98.0,1997,167924402,1099700599
A Simple Wish,86.0,1997,52243147,15570428
Contact,150.0,1997,167924402,319280877
بچه‌های آسمان,89.0,1997,335848,1679244
G.I. Jane,125.0,1997,93291334,89875297
George of the Jungle,92.0,1997,102620468,325518201
The Myth Of Fingerprints,93.0,1997,3731653,856069
Cop Land,104.0,1997,27987400,83705065
Turbo: A Power Rangers Movie,99.0,1997,18658266,33547076
Turbulence,100.0,1997,102620468,21393733
The Sweet Hereafter,112.0,1997,9329133,6089284
Hercules,93.0,1997,158595268,471516983
Steel,97.0,1997,29853227,3146584
Wishmaster,90.0,1997,9329133,29329133
Air Force One,124.0,1997,158595268,588027240
One Eight Seven,119.0,1997,37316533,10665214
一個好人,113.0,1997,23727630,35105006
L.A. Confidential,138.0,1997,65303934,235498935
Mimic,105.0,1997,55974800,47542178
Hoodlum,130.0,1997,55974800,43774184
Spice World,93.0,1997,46645667,186582669
The Spanish Prisoner,110.0,1997,18658266,25813954
My Best Friend's Wedding,105.0,1997,70901414,558420667
Picture Perfect,105.0,1997,35450707,82715856
Kiss the Girls,115.0,1997,50377320,112934521
Two Girls and a Guy,84.0,1997,1865826,3838365
In & Out,90.0,1997,65303934,119145962
Chasing Amy,113.0,1997,466456,22429610
I Know What You Did Last Summer,100.0,1997,31719053,234321960
Fire Down Below,105.0,1997,111949601,29853227
Love's Deadly Triangle: The Texas Cadet Murder,93.0,1997,26121573,300401265
The Full Monty,91.0,1997,6530393,481103640
As Good as It Gets,139.0,1997,93291334,586201719
The Night Flier,93.0,1997,1865826,170814
Playing God,94.0,1997,22389920,7463306
The Ice Storm,112.0,1997,33584880,14997628
U Turn,125.0,1997,35450707,12467636
The House of Yes,85.0,1997,2798740,1168113
The Devil's Advocate,144.0,1997,106352121,285368229
The Game,129.0,1997,93291334,204165563
Shooting Fish,109.0,1997,5597480,563860
Seven Years in Tibet,136.0,1997,130607868,245277251
A Life Less Ordinary,103.0,1997,22389920,8147546
Home Alone 3,102.0,1997,59706454,147554267
Wag the Dog,97.0,1997,27987400,119891517
Bean,85.0,1997,33584880,468719305
The Rainmaker,135.0,1997,74633067,85672733
La vérité si je mens !,100.0,1997,7463306,54959791
Kundun,134.0,1997,52243147,10606831
Jackie Brown,154.0,1997,22389920,74023244
The Postman,177.0,1997,149266135,32887497
Tomorrow Never Dies,119.0,1997,205240936,621340939
Titanic,194.0,1997,373165338,3442514035
Scream 2,120.0,1997,44779840,321600047
MouseHunt,98.0,1997,70901414,228409631
Midnight in the Garden of Good and Evil,155.0,1997,65303934,46842054
Switchback,118.0,1997,69035587,12094652
Mad City,114.0,1997,93291334,19668654
One Night Stand,102.0,1997,44779840,4931348
Good Will Hunting,126.0,1997,18658266,421552633
For Richer or Poorer,115.0,1997,65303934,58981067
Conspiracy Theory,135.0,1997,139937001,255586228
Flubber,93.0,1997,149266135,332074658
Deconstructing Harry,96.0,1997,37316533,19939793
Mortal Kombat: Annihilation,95.0,1997,55974800,95860318
Amistad,155.0,1997,67169760,138071175
Alien: Resurrection,109.0,1997,130607868,302263924
The Man Who Knew Too Little,97.0,1997,37316533,25751682
The Jackal,124.0,1997,111949601,297282689
Anastasia,94.0,1997,98888814,260850684
Gattaca,106.0,1997,67169760,23383989
U.S. Marshals,131.0,1998,109392347,186636845
The Wedding Singer,95.0,1998,32817704,224814013
Six Days Seven Nights,98.0,1998,127624405,299005750
Hard Rain,97.0,1998,127624405,36228132
Sphere,134.0,1998,136740434,23883995
Rounders,121.0,1998,21878469,41791337
Dark City,100.0,1998,49226556,49591773
Godzilla,139.0,1998,237016753,691021056
The Horse Whisperer,170.0,1998,109392347,340727194
Great Expectations,111.0,1998,45580144,101177102
The Big Hit,91.0,1998,23701675,49239579
Half Baked,82.0,1998,14585646,31833209
The Newton Boys,113.0,1998,49226556,138563640
Deep Rising,106.0,1998,82044260,20425421
Mercury Rising,111.0,1998,109392347,169753748
He Got Game,136.0,1998,45580144,39322634
Bulworth,108.0,1998,54696173,53242867
Meet the Deedles,93.0,1998,43756939,8317731
The Replacement Killers,87.0,1998,54696173,35014537
Lost in Space,130.0,1998,145856463,248246648
City of Angels,114.0,1998,100276318,362243850
Zero Effect,116.0,1998,9116028,3610563
"An Alan Smithee Film: Burn, Hollywood, Burn",86.0,1998,18232057,83464
Deep Impact,120.0,1998,136740434,256095989
Woo,84.0,1998,23701675,14634820
Quest for Camelot,86.0,1998,72928231,69596323
I Married a Strange Person!,72.0,1998,455,370
Wild Things,108.0,1998,36464115,122519429
Wide Awake,88.0,1998,10939234,514463
Small Soldiers,110.0,1998,72928231,99697536
The Mask of Zorro,136.0,1998,173204550,456327485
The Object of My Affection,111.0,1998,27348086,85519088
There's Something About Mary,119.0,1998,41933733,674375838
A Perfect Murder,107.0,1998,109392347,233440294
Out of Sight,123.0,1998,87513878,141746170
Buffalo '66,110.0,1998,2734808,4330290
Pi,84.0,1998,109392,5872822
Mulan,88.0,1998,164088521,554838450
Armageddon,151.0,1998,255248811,1009690577
The X Files,121.0,1998,120331582,344947460
Doctor Dolittle,85.0,1998,129447611,536854988
Can't Hardly Wait,100.0,1998,18232057,46683211
Saving Private Ryan,169.0,1998,127624405,878495136
Blues Brothers 2000,123.0,1998,51049762,25618564
The Prince of Egypt,99.0,1998,127624405,398576830
Lethal Weapon 4,127.0,1998,255248811,520424253
Disturbing Behavior,84.0,1998,27348086,31919534
Jane Austen's Mafia!,84.0,1998,18232057,34640910
Fear and Loathing in Las Vegas,118.0,1998,33729307,19472339
The Negotiator,140.0,1998,91160289,81219590
Halloween: H20,86.0,1998,30994498,100352415
EverAfter,121.0,1998,47403350,119795144
"First Love, Last Rites",94.0,1998,546961,73916
The Avengers,89.0,1998,109392347,88581211
How Stella Got Her Groove Back,124.0,1998,36464115,68684446
Your Friends & Neighbors,100.0,1998,9116028,8588664
Blade,120.0,1998,82044260,239174571
54,106.0,1998,23701675,30551756
The Opposite of Sex,105.0,1998,9116028,10719089
Snake Eyes,98.0,1998,133094022,189415418
Simon Birch,114.0,1998,36464115,33279731
Species II,93.0,1998,63812202,34942760
Psycho,105.0,1998,109392347,67715923
The Waterboy,90.0,1998,41933733,339101046
Urban Legend,99.0,1998,25524881,132232731
Antz,83.0,1998,109392347,313149930
A Night at the Roxbury,81.0,1998,30994498,55299955
What Dreams May Come,113.0,1998,154972492,130331944
Slam,100.0,1998,1,1841107
Holy Man,114.0,1998,109392347,22005581
Bride of Chucky,89.0,1998,45580144,92385210
Happiness,139.0,1998,5469617,5118449
Soldier,99.0,1998,136740434,26560248
American History X,119.0,1998,36464115,43529269
Six-String Samurai,91.0,1998,3646411,226978
Living Out Loud,100.0,1998,21878469,23524441
Gods and Monsters,105.0,1998,18232057,11762645
Practical Magic,104.0,1998,136740434,85113403
I Still Know What You Did Last Summer,100.0,1998,118508376,72932082
Ringmaster,90.0,1998,6381220,16860790
Forever Fever,95.0,1998,1950830,1039227
The Big Lebowski,117.0,1998,27348086,84213087
The Truman Show,103.0,1998,109392347,481541834
The Siege,116.0,1998,127624405,212718729
A Bug's Life,95.0,1998,218784695,662295656
Meet Joe Black,178.0,1998,164088521,260609218
I'll Be Home for Christmas,86.0,1998,54696173,22269251
Rush Hour,98.0,1998,60165791,445567546
Enemy of the State,132.0,1998,164088521,456986233
The Rugrats Movie,79.0,1998,54696173,183217018
Strangeland,86.0,1998,2005526,1150845
Central do Brasil,113.0,1998,5287296,10203950
Very Bad Things,100.0,1998,54696173,18046842
Elizabeth,124.0,1998,54696173,149777526
Ronin,122.0,1998,100276318,75865204
Patch Adams,115.0,1998,91160289,368821590
Star Trek: Insurrection,103.0,1998,127624405,215138283
Babe: Pig in the City,92.0,1998,164088521,126041607
Rushmore,93.0,1998,16408852,31169622
Shakespeare in Love,122.0,1998,45580144,527485878
You've Got Mail,119.0,1998,118508376,457299202
The Thin Red Line,170.0,1998,94806701,178904921
The Faculty,104.0,1998,27348086,73444784
A Civil Action,115.0,1998,127624405,103381057
Playing by Heart,121.0,1998,36464115,7238269
"Blood, Guts, Bullets and Octane",87.0,1998,13309,24930
Rane,103.0,1998,18232,273480
Idioterne,117.0,1998,4558014,13190
Theeviravaathi: The Terrorist,95.0,1998,44766,255287
Mighty Joe Young,114.0,1998,164088521,92312623
Le Dîner de cons,80.0,1998,22790072,143303078
Without Limits,117.0,1998,45580144,1417402
Following,69.0,1998,10939,88392
Sliding Doors,99.0,1998,10939234,105745936
Edge of Seventeen,99.0,1998,2734808,1587558
劇場版ポケットモンスター ミュウツーの逆襲,75.0,1998,54696173,298357895
The Red Violin,131.0,1998,32817704,17312082
Lola rennt,81.0,1998,2789504,13250303
"Lock, Stock and Two Smoking Barrels",105.0,1998,2461327,7106070
Home Fries,93.0,1998,27348086,19040314
リング,96.0,1998,2187846,15844440
दिल से,163.0,1998,9480670,23701675
A Place Called Chiapas,89.0,1998,1624476,417514
Kuch Kuch Hota Hai,185.0,1998,2789504,27905987
Simply Irresistible,95.0,1999,10772022,7897668
She's All That,95.0,1999,17953371,185219528
Jawbreaker,87.0,1999,5386011,5523929
The Rage: Carrie 2,104.0,1999,37702080,31890044
Blast from the Past,112.0,1999,62836800,72285695
Payback,100.0,1999,161580343,290173379
My Favorite Martian,94.0,1999,116696914,66158355
Cruel Intentions,97.0,1999,18851040,136270053
Office Space,89.0,1999,17953371,23030249
200 Cigarettes,101.0,1999,10772022,12302458
8MM,123.0,1999,71813486,173463139
Analyze This,103.0,1999,143626972,317569393
Virus,99.0,1999,134650286,25153912
The King and I,87.0,1999,44883428,21544045
The Corruptor,110.0,1999,44883428,27210488
10 Things I Hate About You,97.0,1999,28725394,96011338
Go,98.0,1999,11669691,51080253
A Midsummer Night's Dream,116.0,1999,19748708,28854640
Entrapment,112.0,1999,118492251,381337503
A Walk on the Moon,107.0,1999,25134720,8529036
The Matrix,136.0,1999,113106240,832169977
The Out-of-Towners,90.0,1999,134650286,52064777
Never Been Kissed,107.0,1999,44883428,151823099
Life,108.0,1999,143626972,131679055
The Mod Squad,92.0,1999,89766857,23806260
Lost & Found,95.0,1999,1,179
eXistenZ,97.0,1999,26930057,5128761
Chill Factor,101.0,1999,125673600,20222616
Idle Hands,92.0,1999,44883428,7454652
Forces of Nature,105.0,1999,134650286,168560937
The Mummy,124.0,1999,143626972,746654666
The Deep End of the Ocean,106.0,1999,68222811,50486855
Pushing Tin,124.0,1999,59246125,15096693
Baby Geniuses,97.0,1999,21544045,65441360
முதல்வன்,169.0,1999,13285494,39497417
Wild Wild West,106.0,1999,305207315,398752785
Eyes Wide Shut,159.0,1999,116696914,291008367
The Thirteenth Floor,100.0,1999,28725394,33328796
Limbo,126.0,1999,14362697,3586737
Austin Powers: The Spy Who Shagged Me,95.0,1999,59246125,558242287
Tarzan,88.0,1999,269300572,804311043
The Wood,106.0,1999,10772022,44990502
An Ideal Husband,97.0,1999,25134720,33276916
Big Daddy,93.0,1999,61400530,421548565
The General's Daughter,116.0,1999,107720229,268772477
"South Park: Bigger, Longer & Uncut",81.0,1999,37702080,149260027
American Pie,95.0,1999,19748708,422771385
Muppets from Space,87.0,1999,43088091,29247794
The Blair Witch Project,81.0,1999,107720,445243613
Ravenous,100.0,1999,21544045,3702712
Arlington Road,117.0,1999,38599748,73729669
Lake Placid,82.0,1999,48474103,102101567
Beowulf,95.0,1999,35906743,2749111
Message in a Bottle,131.0,1999,143626972,213429709
Notting Hill,124.0,1999,75404160,653304657
The Sixth Sense,107.0,1999,71813486,1207914131
Trick,89.0,1999,807901,3679714
Deep Blue Sea,105.0,1999,107720229,132223399
Mystery Men,121.0,1999,122082926,53432844
Runaway Bride,116.0,1999,125673600,555580562
Dick,94.0,1999,23339382,49371771
Star Wars: Episode I - The Phantom Menace,136.0,1999,206463772,1659461650
The Haunting,113.0,1999,143626972,163714828
The Iron Giant,86.0,1999,125673600,41578760
Brokedown Palace,100.0,1999,44883428,23339382
Detroit Rock City,95.0,1999,11669691,7571143
Teaching Mrs. Tingle,96.0,1999,23339382,16061511
Universal Soldier: The Return,82.0,1999,80790171,19152464
In Too Deep,97.0,1999,12567360,25155283
Drop Dead Gorgeous,98.0,1999,17953371,18979241
The Thomas Crown Affair,113.0,1999,86176183,223169709
The 13th Warrior,102.0,1999,287253944,110770325
Tea with Mussolini,117.0,1999,21544045,37704886
Drive Me Crazy,91.0,1999,14362697,40562786
Outside Providence,96.0,1999,12567360,13091912
Boys Don't Cry,118.0,1999,3590674,20719280
Stir of Echoes,99.0,1999,21544045,37941016
Naturally Native,107.0,1999,1256736,18865
Fight Club,139.0,1999,113106240,181066489
"Happy, Texas",98.0,1999,3052073,3489505
The Story of Us,95.0,1999,89766857,105745413
Random Hearts,133.0,1999,114901577,133947537
Amarkalam,157.0,1999,897668,897668
American Beauty,122.0,1999,26930057,639672524
The Talented Mr. Ripley,139.0,1999,71813486,231236310
The World Is Not Enough,128.0,1999,242370515,649611149
Angela's Ashes,145.0,1999,44,23
The Best Man,120.0,1999,16158034,62071591
"Mystery, Alaska",119.0,1999,50269440,15957213
Blue Streak,93.0,1999,116696914,211416209
Play It to the Bone,124.0,1999,43088091,15142135
Three Kings,114.0,1999,134650286,193896412
The Limey,89.0,1999,17953371,5732694
Guinevere,104.0,1999,4667876,1102699
The Bachelor,101.0,1999,91562194,66268797
Double Jeopardy,105.0,1999,125673600,319285555
The Bone Collector,118.0,1999,131059611,271982186
Stigmata,103.0,1999,52064777,89841780
Anywhere But Here,114.0,1999,41292754,33489527
Being John Malkovich,112.0,1999,23339382,41047863
Three to Tango,98.0,1999,35906743,18977386
Music of the Heart,124.0,1999,48474103,26677622
Joan of Arc,148.0,1999,107720229,120245070
House on Haunted Hill,93.0,1999,34111405,73332488
For Love of the Game,137.0,1999,89766857,82787735
Vaali,157.0,1999,897668,897668
The Astronaut's Wife,109.0,1999,134650286,35186073
Dogma,130.0,1999,17953371,55032272
"Girl, Interrupted",127.0,1999,71813486,86804919
リング 2,92.0,1999,10772022,33548826
Dreaming of Joseph Lees,92.0,1999,3590674,12
The Ninth Gate,133.0,1999,68222811,104851097
The End of the Affair,102.0,1999,41292754,19439580
Deuce Bigalow: Male Gigolo,88.0,1999,30520731,117657540
Man on the Moon,118.0,1999,147217646,85160794
The Green Mile,189.0,1999,107720229,510952953
Bicentennial Man,131.0,1999,179533715,168223090
Ride with the Devil,138.0,1999,68222811,1140211
Tumbleweeds,102.0,1999,560145,2300142
Stuart Little,84.0,1999,238779841,538844174
Onegin,104.0,1999,25134720,370069
Le dernier souffle,0.0,1999,6822281,1004128
Simpatico,106.0,1999,17953371,1668956
The Cider House Rules,126.0,1999,43088091,158968293
The Boondock Saints,108.0,1999,10772022,54705
Beyond the Mat,102.0,1999,3686990,897668
Magnolia,188.0,1999,66427474,86987321
Toy Story 2,92.0,1999,161580343,892941217
Fantasia 2000,74.0,1999,143626972,163150491
The Insider,157.0,1999,161580343,108240718
Black and White,98.0,1999,17953371,9409927
The Hurricane,146.0,1999,89766857,132776386
East Is East,97.0,1999,6822281,50628507
End of Days,121.0,1999,179533715,380591804
Todo sobre mi madre,101.0,1999,14851560,121853654
But I'm a Cheerleader,85.0,1999,2154404,4667876
Human Traffic,99.0,1999,1077202,7181348
La lengua de las mariposas,96.0,1999,5386011,10772022
The Cherry Orchard,141.0,1999,8,242
The Virgin Suicides,97.0,1999,10772022,18688341
Sleepy Hollow,105.0,1999,179533715,369967823
Galaxy Quest,102.0,1999,80790171,162808203
Any Given Sunday,163.0,1999,98743543,179948136
Cookie's Fortune,118.0,1999,17953371,19606058
劇場版ポケットモンスター 幻のポケモン ルギア爆誕,84.0,1999,53860114,240484100
Gojira ni-sen mireniamu,107.0,1999,1795337,18020499
Love & Basketball,124.0,2000,35137915,48715413
Scream 3,116.0,2000,70275831,284325958
Rules of Engagement,128.0,2000,105413747,124739601
Gun Shy,101.0,2000,17568957,2866971
The Beach,119.0,2000,70275831,253092914
The Skulls,106.0,2000,26353436,61503967
Boiler Room,118.0,2000,45679290,50563908
The Tigger Movie,77.0,2000,52706873,80034567
High Fidelity,113.0,2000,52706873,82795989
The Road to El Dorado,89.0,2000,166905100,134284336
Trois,93.0,2000,351379,2038469
Erin Brockovich,131.0,2000,91358581,450241944
The Big Kahuna,90.0,2000,12298270,6551267
The Next Best Thing,108.0,2000,43922394,42802851
Bring It On,98.0,2000,49193082,158911099
Rugrats in Paris: The Movie,78.0,2000,52,180
The Weight of Water,113.0,2000,28110332,191730
Mission to Mars,114.0,2000,158120621,106950354
Vulgar,87.0,2000,210827,26184
幸福时光,102.0,2000,3338102,421818
섬,90.0,2000,87844,37026
Proof of Life,135.0,2000,114198226,110264545
卧虎藏龙,120.0,2000,29867228,375142467
U-571,116.0,2000,108927539,224296587
Snatch,103.0,2000,17568957,146802473
102 Dalmatians,100.0,2000,149336142,322586747
How the Grinch Stole Christmas,104.0,2000,216098182,606377478
Bounce,106.0,2000,61491352,64617390
The 6th Day,123.0,2000,144065455,168812170
